node1,node2,network
62237,446299,1
88371,797149,1
88371,1201905,1
88371,1275019,1
88371,1256783,1
88371,502081,1
88371,9952,1
88371,866690,1
88371,421202,1
88371,7511,1
88371,1316120,1
88371,610611,1
88371,33387,1
88371,1504694,1
88371,403345,1
88371,104652,1
88371,176344,1
88371,395643,1
88371,1075991,1
88371,1183701,1
167183,175387,1
167183,524019,1
167183,124855,1
167183,523828,1
167183,247458,1
167183,768566,1
167183,1023125,1
167183,658481,1
167183,958051,1
167183,669548,1
167183,1518881,1
167183,905016,1
167183,145827,1
167183,175755,1
167183,1269587,1
167183,1249710,1
167183,435598,1
203754,753897,1
203754,1063520,1
247517,1317514,1
247517,619727,1
247517,125334,1
247517,429996,1
247517,873961,1
247517,1208715,1
247517,1124000,1
247517,746943,1
247517,131596,1
247517,1262629,1
247517,189369,1
247517,633775,1
265690,895750,1
265690,838896,1
265690,1497699,1
265690,1508417,1
265690,742419,1
265690,1247682,1
265690,817067,1
265690,444278,1
265690,358168,1
265690,1093548,1
265690,772728,1
265690,1260663,1
265690,503359,1
265690,509864,1
276316,1540292,1
276316,435262,1
276316,901849,1
276316,337994,1
276316,1037398,1
276316,493192,1
288856,209749,1
288856,833605,1
288856,127684,1
288856,1160571,1
288856,1155279,1
288856,230425,1
288856,1123457,1
288856,758646,1
288856,85173,1
288856,959782,1
288856,478971,1
288856,692422,1
288856,870983,1
288856,608450,1
288856,255339,1
288856,590830,1
288856,944356,1
288856,12775,1
288856,436937,1
288856,1488286,1
288856,787055,1
288856,1228006,1
288856,1271508,1
288856,251392,1
288856,690538,1
288856,1354731,1
288856,1237345,1
288856,636583,1
288856,1076508,1
288856,1238841,1
288856,774169,1
317273,1351758,1
348620,804394,1
348620,112267,1
348620,497003,1
348620,1125376,1
348620,1223281,1
348620,795897,1
348620,76109,1
348620,23707,1
348620,734728,1
348620,848813,1
348620,1274423,1
348620,1047166,1
348620,709975,1
348620,955288,1
348620,1478941,1
348620,1567652,1
348620,571585,1
348620,135017,1
348620,1565810,1
348620,630485,1
348620,1259843,1
348620,312607,1
348620,308301,1
348620,691231,1
348620,1151657,1
348620,1431750,1
348620,67227,1
348620,649117,1
348620,794608,1
348620,1102743,1
348620,582019,1
348620,573334,1
348620,937438,1
348620,809375,1
348620,824095,1
348620,307313,1
348620,712052,1
348620,110956,1
348620,1211425,1
348620,731925,1
348620,441953,1
348620,515898,1
348620,1565023,1
348620,536808,1
348620,459896,1
348620,1332296,1
348620,40887,1
348620,1131633,1
348620,1204821,1
348620,127617,1
349748,1296421,1
349748,756489,1
349748,1119570,1
349748,1129698,1
349748,1508286,1
349748,31566,1
349748,1094947,1
349748,1032146,1
378685,35651,1
378685,334568,1
378685,1144352,1
378685,1245275,1
378685,1586160,1
378685,1330916,1
378685,756101,1
378685,1053914,1
378685,584505,1
378685,764595,1
378685,814108,1
378685,1347065,1
378685,1256241,1
378685,1354618,1
378685,304097,1
378685,1153526,1
378685,1071936,1
378685,140986,1
378685,775926,1
378685,890502,1
378685,212065,1
378685,899446,1
378685,19931,1
379958,198894,1
379958,485591,1
379958,1230087,1
379958,1386021,1
379958,1347237,1
379958,1248960,1
379958,427265,1
379958,1001149,1
379958,705505,1
379958,325119,1
379958,39063,1
385167,179604,1
385167,240216,1
385167,970605,1
385167,1126250,1
385167,770846,1
385167,1090666,1
385167,1385716,1
385167,755041,1
385167,1364549,1
399167,108956,1
399167,825188,1
399167,1179862,1
399167,567301,1
408227,70158,1
408227,1027594,1
408227,67921,1
408227,986201,1
408227,769846,1
408227,553253,1
408227,648170,1
408227,255229,1
408227,1212913,1
408227,900390,1
408227,320891,1
408227,153531,1
408227,1134557,1
408227,1035028,1
408227,1129761,1
408227,1255124,1
408227,810463,1
408227,1264986,1
408227,910732,1
408227,1263681,1
408227,1246323,1
408227,903456,1
408227,957288,1
408227,1229071,1
408227,187181,1
408227,758646,1
408227,1217901,1
408227,1556299,1
