node1,node2,network
1439672,1331001,1
5912,801274,1
5912,1396038,1
5912,204628,1
5912,224148,1
5912,506547,1
5912,594206,1
5912,1127084,1
5912,16842,1
5912,773230,1
345174,1119025,1
345174,732624,1
345174,805491,1
345174,1331735,1
345174,1508729,1
345174,211956,1
345174,835152,1
345174,644347,1
523201,689806,1
523201,346426,1
523201,1213450,1
523201,1447173,1
566294,6288,1
566294,1325055,1
566294,1346514,1
566294,956841,1
566294,1252174,1
566294,1097960,1
566294,310874,1
566294,570058,1
566294,171221,1
566294,1370331,1
566294,26273,1
566294,62237,1
566294,668330,1
566294,574836,1
566294,1389747,1
566294,515372,1
566294,290348,1
566294,965981,1
566294,1063520,1
566294,399298,1
566294,451032,1
566294,1496427,1
566294,933638,1
566294,380878,1
566294,194682,1
566294,1210344,1
566294,523921,1
566294,348620,1
566294,288856,1
566294,408227,1
834480,310639,1
834480,217180,1
834480,547284,1
834480,1099272,1
933728,969132,1
933728,1248899,1
933728,224148,1
933728,1464921,1
933728,1226956,1
933728,39648,1
933728,496017,1
933728,1253529,1
933728,1004567,1
944881,1445812,1
944881,801735,1
944881,1391141,1
944881,930374,1
944881,929378,1
944881,1282668,1
944881,1156818,1
944881,1168858,1
944881,484291,1
944881,398738,1
944881,802252,1
944881,1255170,1
944881,1229194,1
944881,1420102,1
991541,606662,1
991541,425446,1
991541,1418479,1
1302208,325119,1
1302208,595298,1
1302208,989513,1
1302208,1012277,1
1302208,498016,1
6257,237968,1
1297273,1372958,1
1297273,1484309,1
1297273,1441410,1
1297273,299343,1
1297273,378685,1
1297273,617591,1
1297273,1095393,1
1297273,166486,1
1297273,1015952,1
1297273,407340,1
1297273,8692,1
1297273,1376363,1
1297273,1127550,1
1297273,762585,1
1297273,1295679,1
1297273,393508,1
1297273,772390,1
1297273,674589,1
1297273,122259,1
1297273,416771,1
1297273,526741,1
1297273,649626,1
6288,12345,1
6288,62237,1
6288,348620,1
6288,408227,1
6288,450691,1
6288,523921,1
6288,566064,1
6288,753897,1
6288,1168101,1
6288,1210344,1
6288,1336126,1
6288,1432031,1
6288,1496427,1
6288,1528338,1
6288,577168,1
6288,1370331,1
6288,200366,1
6288,515372,1
6288,239018,1
6288,310874,1
6288,1191343,1
6288,939395,1
6288,120858,1
6288,933638,1
6288,1351758,1
6288,668330,1
6288,194682,1
6288,403669,1
6288,1189880,1
6288,424070,1
6288,1410249,1
6288,171221,1
6288,474956,1
6288,965981,1
6288,1325055,1
6288,399298,1
6288,26273,1
6288,1067123,1
6288,380878,1
6288,1508873,1
6288,1346514,1
6288,1252174,1
6288,828225,1
6288,1417595,1
6288,814185,1
6288,1078351,1
6288,1305752,1
6288,1507757,1
6288,395566,1
6288,720419,1
6288,1147201,1
6288,574836,1
6288,1404360,1
6288,405153,1
6288,1214443,1
6288,71456,1
6288,36324,1
6288,570058,1
6288,288856,1
6288,376723,1
6288,674589,1
6288,211367,1
6288,681970,1
6288,39564,1
6288,1435652,1
6288,431866,1
6288,156665,1
6288,1063520,1
6288,290348,1
6288,1065888,1
6288,451032,1
6288,8718,1
6288,1095208,1
6288,1570818,1
6288,956841,1
6288,794595,1
6288,631213,1
6288,216681,1
6288,1072498,1
6288,742089,1
6288,1372958,1
6288,1077378,1
6288,1508488,1
6288,649626,1
6288,291094,1
6288,1289168,1
6288,1280763,1
6288,835174,1
6288,51429,1
6288,726480,1
6288,453050,1
6288,570348,1
6288,562725,1
6288,122259,1
6288,997648,1
6288,290580,1
6288,853692,1
6288,1365441,1
6288,448169,1
12345,348620,1
12345,939395,1
12345,1168101,1
12345,1496427,1
12345,450691,1
12345,668330,1
12345,515372,1
12345,631213,1
12345,965981,1
12345,424070,1
12345,171221,1
12345,194682,1
12345,431866,1
12345,1351758,1
12345,1432031,1
12345,395566,1
12345,62237,1
12345,380878,1
12345,1336126,1
12345,1346514,1
12345,1210344,1
12345,310874,1
12345,1325055,1
12345,1528338,1
12345,828225,1
12345,1370331,1
12345,1417595,1
12345,290580,1
12345,577168,1
12345,933638,1
12345,1191343,1
12345,120858,1
12345,681970,1
12345,39564,1
12345,814185,1
16842,1499446,1
16842,1563343,1
16842,525041,1
16842,1003317,1
16842,158016,1
16842,1575815,1
16842,1452189,1
16842,1167274,1
23665,1385434,1
23665,1140945,1
23665,1409740,1
23665,782618,1
23665,94500,1
23665,1470253,1
23665,401013,1
