node1,node2
1058999,612565
1058999,126389
1058999,1364337
1058999,1331495
1058999,155987
1058999,1556835
1058999,374336
1114229,1585441
1114229,1122008
1114229,625619
1114229,713484
1114229,768325
1114229,571176
1114229,633173
1114229,1331495
1114229,1040099
1114229,1499403
1114229,588861
1114229,1094088
1127027,1128462
1127027,392886
1127027,591371
1127027,471134
1127027,1292614
1127027,54647
1127027,233012
1127027,406295
1127027,1182426
1127027,733816
1127027,1449660
1127027,1516993
1127027,1420488
1131934,1445323
1131934,820906
1131934,794291
1131934,1359217
1131934,1394242
1131934,1487754
1131934,474656
1131934,760090
1131934,1055302
1131934,1132391
1131934,1288149
1131934,1379246
1131934,1336679
1131934,951149
1131934,229637
1131934,368163
1131934,1129772
1131934,1123862
1131934,544269
1131934,1567862
1131934,1193048
1131934,892441
1131934,457527
1131934,89941
1131934,434010
1131934,216405
1219478,667166
1219478,214559
1219478,246162
1219478,1193048
1219478,101817
1219478,1201999
1219478,1345936
1219478,693740
1219478,434348
1219478,944246
1219478,210692
1219478,1007004
1219478,457693
1219478,998190
1219478,535428
1219478,18384
1219478,430618
1219478,1338486
1219478,1008718
1219478,673976
1344119,1026441
1344119,1055302
1344119,1359217
1344119,319490
1344119,1067683
1344119,1129772
1344119,1191476
1344119,1094088
1344119,1262219
1344119,1263341
1344119,71989
1344119,247934
1344119,33375
1344119,256671
1344119,531033
1344119,585183
1344119,774135
1344119,1223613
1344119,898518
1346236,421088
1346236,52286
1346236,1582514
1346236,1110503
1346236,823144
1346236,32956
1346236,101817
1346236,1449660
1346236,32102
1346236,109085
1346236,96051
1346236,1006458
1346236,694526
1346236,91614
1346236,1373851
1346236,389055
1346236,479047
1346236,1451178
1346236,675035
1346236,1387406
1346236,1122008
1346236,1560103
1346236,870785
1451863,494068
1451863,713484
1451863,379342
1451863,768325
1451863,1133462
1451863,1508729
1451863,962111
1451863,151470
1451863,567054
1451863,540054
1451863,406295
1451863,612565
1538091,156665
1538091,1464657
1538091,1550569
1538091,381315
1538091,854884
1538091,974042
1538091,235454
1538091,892441
1538091,1023549
1538091,267767
1538091,445704
1538091,1546330
1538091,1413318
1538091,11577
1539280,242972
1539280,265970
1539280,1451178
1539280,667166
1539280,1167765
1539280,1265600
1539280,460372
1539280,874903
1539280,163245
1539280,96051
1539280,393823
1539280,1413318
1539280,1063796
1539280,383390
1539280,633173
1539280,109514
1539280,416771
1539280,206637
1539280,686205
1543604,1570420
1543604,89881
1543604,1098047
1543604,24108
1543604,826871
1543604,181440
1543604,771114
1366,580906
1366,395566
1366,1476360
1366,1551084
1366,1518962
1366,710986
1366,592526
1366,396554
1366,1128462
1366,97672
1366,985552
1366,1388111
1366,290801
1366,553916
1366,402555
1366,33325
1366,247934
1366,554949
1366,811964
1366,184377
1366,588861
1366,1364337
77919,1225712
77919,29472
98626,746130
98626,948985
98626,804991
98626,290801
98626,536119
98626,368184
98626,226715
98626,569831
98626,1077760
98626,1241472
98626,396554
98626,240621
98626,906660
98626,256671
98626,1234820
98626,1373851
98626,1129772
98626,277913
98626,1486568
98626,744364
98626,266195
98626,352613
98626,434348
98626,1360494
98626,181697
98626,479047
98626,644322
98626,46494
98626,1388111
98626,257551
98626,1209831
98626,163536
98626,1239782
98626,531033
107872,1348178
107872,1526238
107872,196153
107872,1111893
107872,1326170
107872,677152
107872,1319705
108110,802680
108110,1309629
108110,390983
108110,801705
108110,762491
108110,1264013
108110,1466107
108110,277913
108110,109152
108110,580906
108110,545075
108110,1328752
108110,485354
108110,610383
108110,1516993
108110,381315
108110,812127
175513,1328752
175513,736671
175513,445704
175513,945424
175513,474656
175513,962111
175513,1396273
175513,75936
175513,1206395
175513,310888
175513,1331495
175513,1129772
175513,1552244
175513,1151568
175513,243249
175513,1093800
175513,246288
175513,495689
175513,264496
175513,104370
175513,1123862
175513,1008718
175513,749341
175513,598113
175513,1087507
175513,436502
175513,327514
175513,1394242
175513,906660
231190,1388111
231190,592526
231190,823144
231190,246162
231190,804991
231190,223282
231190,337779
231190,247934
231190,29239
231190,1128462
231190,963571
231190,1008718
231190,1569935
231190,437666
231190,54647
231190,699212
231190,15355
231190,1141127
231190,290801
231190,122853
231190,728954
231190,1069293
231190,639151
231190,320116
231190,672474
231190,396554
269784,284135
269784,267767
269784,1531296
269784,467562
269784,1041716
269784,1203522
269784,237628
269784,801705
269784,319557
269784,466123
269784,870785
269784,1156662
269784,256671
269784,726480
269784,388315
269784,1379246
269784,1360494
269784,290801
269784,668347
269784,459610
269784,499454
269784,396554
269784,937070
269784,135239
269784,1486568
269784,1176618
269784,962111
269784,585183
269784,33375
269784,421088
269784,1135279
269784,756614
269784,1001931
269784,357866
269784,223282
269784,1306188
269784,1292614
269784,604045
269784,352613
269784,1537917
269784,948985
269784,1009157
269784,264496
269784,1023549
269784,1438224
269784,1008718
269784,29239
269784,1053503
269784,1168858
269784,1077760
269784,535428
269784,573034
269784,518400
269784,240621
274798,368163
274798,163245
274798,1396273
274798,290801
274798,495689
274798,618693
274798,1204568
274798,77968
274798,1379246
274798,610383
274798,438893
274798,485354
274798,257250
274798,964323
274798,1092326
274798,715607
274798,710986
274798,801705
274798,1069393
274798,1403213
274798,151470
274798,329731
354616,536119
354616,672474
354616,1396273
354616,675367
354616,675035
354616,410266
354616,580906
354616,1292886
354616,715607
354616,1182355
354616,614891
354616,977278
354616,1046888
354616,1582514
354616,113517
354616,1261231
354616,29239
354616,991229
354616,111222
396554,880423
396554,766014
396554,1365748
396554,644322
396554,408054
396554,904284
396554,1558275
396554,1403244
396554,649512
396554,1379246
396554,468232
396554,1067247
396554,501804
396554,874903
396554,1420398
396554,854884
396554,1135279
396554,1510740
466123,815213
466123,1007050
466123,1510740
466123,883275
466123,1422026
466123,1466107
466123,330434
466123,802680
466123,1531685
466123,71989
466123,1203522
466123,1165757
466123,163536
466123,798991
466123,623579
466123,393000
466123,616428
466123,465256
466123,1261231
466123,1087507
466123,633173
466123,1420987
466123,811964
466123,733816
466123,1034542
466123,1025998
466123,891043
545075,1191090
545075,1301553
545075,1331495
545075,288611
545075,1564452
545075,1464746
545075,381315
545075,8055
545075,459610
545075,237043
545075,1421191
545075,337431
545075,257250
545075,1582514
545075,1387406
545075,1482118
545075,536119
545075,277913
545075,1387977
545075,1469686
545075,1151667
545075,736671
826959,1336679
826959,524083
826959,279199
826959,618693
826959,768325
826959,807451
