node1,node2
1344119,598288
1344119,989005
1344119,1087507
1344119,1107024
1344119,1197546
1344119,8055
1344119,929020
1344119,1346236
1344119,1353435
1344119,1368815
1344119,1372586
1344119,1464968
1344119,1496225
1346236,103873
1346236,1254924
1346236,1069293
1346236,1087507
1346236,1111208
1346236,1191090
1346236,1204568
1346236,1234820
1346236,1363869
1346236,1496225
1451863,256412
1451863,368184
1451863,1254299
1451863,1539280
1538091,52286
1538091,80724
1538091,1234820
1538091,1464968
1538091,1543604
1538091,1539280
1539280,11577
1539280,155987
1539280,331169
1539280,434010
1539280,761246
1539280,1132391
1539280,1234820
1539280,1254299
1539280,368184
1539280,710986
1539280,1543604
1543604,1570420
1366,77919
1366,98626
1366,107872
1366,108110
1366,175513
1366,231190
1366,269784
1366,274798
1366,354616
1366,396554
1366,466123
1366,545075
1366,826959
1366,944246
1366,1115669
1366,1178233
1366,1225712
1366,1341525
1366,1419451
1366,1436802
1366,1476360
1366,1546330
77919,1225712
98626,33325
98626,71442
98626,88873
98626,107872
98626,118645
98626,169729
98626,181697
98626,231190
98626,269784
98626,289969
98626,354616
98626,366097
98626,368377
98626,396554
98626,460372
98626,462495
98626,496169
98626,498028
98626,528519
98626,545075
98626,557414
98626,581571
98626,664552
98626,670682
98626,715607
98626,868946
98626,902245
98626,933901
98626,1115669
98626,1178233
98626,1413209
98626,1443022
98626,1491295
98626,1546330
107872,175513
107872,460372
107872,528519
107872,545075
107872,1341525
108110,181697
108110,231190
108110,269784
108110,354616
108110,396554
108110,460372
108110,466123
108110,613042
108110,933901
108110,980268
108110,1115669
108110,1341525
108110,1403244
108110,1476360
108110,1546330
108110,1564301
175513,30544
175513,118645
175513,181697
175513,228289
175513,236926
175513,269784
175513,274798
175513,354616
175513,366097
175513,376936
175513,459755
175513,466123
175513,545075
175513,557414
175513,715607
175513,742882
175513,793055
175513,813552
175513,901708
175513,902245
175513,1069393
175513,1107024
175513,1115669
175513,1139940
175513,1269219
175513,1341525
175513,1413209
175513,1443022
175513,1491295
175513,1498457
231190,30544
231190,88873
